k,d,ek,ed,roundSwing,adr,eadr,kast,ekast,rating,playerID,side,team,map,matchID
29.0,12.0,29.0,14.0,7.22,106.6,102.8,87.5,82.2,1.81,19920,ct,Nemiga,All,2389203
24.0,9.0,24.0,10.0,5.93,100.9,97.3,95.8,85.2,1.66,23319,ct,Nemiga,All,2389203
19.0,11.0,14.0,13.0,0.74,82.7,69.6,87.5,80.3,1.07,23317,ct,Nemiga,All,2389203
14.0,14.0,14.0,16.0,0.05,78.5,75.0,95.8,89.6,1.04,22325,ct,Nemiga,All,2389203
16.0,16.0,14.0,18.0,-1.24,67.7,65.5,75.0,83.3,0.89,22460,ct,Nemiga,All,2389203
17.0,10.0,19.0,9.0,7.99,90.9,97.0,70.6,82.8,1.79,22460,t,Nemiga,All,2389203
10.0,11.0,11.0,10.0,0.1,77.8,81.9,88.2,94.1,1.25,23319,t,Nemiga,All,2389203
11.0,15.0,12.0,15.0,0.95,68.3,73.8,70.6,76.1,1.11,22325,t,Nemiga,All,2389203
9.0,13.0,9.0,13.0,-0.22,72.8,75.5,64.7,65.9,1.03,23317,t,Nemiga,All,2389203
10.0,12.0,10.0,12.0,-4.65,61.0,58.3,64.7,59.7,0.81,19920,t,Nemiga,All,2389203
31.0,29.0,33.0,30.0,-1.84,74.8,76.1,68.3,63.1,1.01,19698,total,illwill,All,2389203
26.0,32.0,26.0,32.0,-1.02,77.2,78.3,78.0,74.7,1.0,9656,total,illwill,All,2389203
26.0,32.0,26.0,33.0,0.61,66.8,66.8,68.3,73.0,1.0,20889,total,illwill,All,2389203
28.0,32.0,28.0,31.0,-2.86,71.9,73.0,65.9,63.0,0.88,18456,total,illwill,All,2389203
12.0,34.0,14.0,34.0,-4.05,50.4,55.8,48.8,55.7,0.6,8311,total,illwill,All,2389203
18.0,11.0,18.0,13.0,4.08,100.4,96.1,94.1,82.5,1.47,9656,ct,illwill,All,2389203
14.0,11.0,13.0,13.0,3.43,86.9,83.8,76.5,81.3,1.17,20889,ct,illwill,All,2389203
12.0,11.0,10.0,11.0,-3.13,70.2,64.6,76.5,69.9,0.77,18456,ct,illwill,All,2389203
6.0,12.0,6.0,13.0,-1.18,56.6,58.6,58.8,56.3,0.68,8311,ct,illwill,All,2389203
11.0,12.0,11.0,14.0,-7.39,71.3,68.2,82.4,63.3,0.65,19698,ct,illwill,All,2389203
20.0,17.0,22.0,16.0,2.09,77.3,81.7,58.3,63.0,1.27,19698,t,illwill,All,2389203
16.0,21.0,18.0,20.0,-2.66,73.0,79.1,58.3,58.1,0.95,18456,t,illwill,All,2389203
