matchid,playerid,teamid,mapid,sideid,k,d,ek,ed,roundswing,adr,eadr,kast,ekast,rating
2388915,18749,13404,5,0,11.0,14.0,11.0,14.0,1.14,58.7,60.5,90.0,97.2,1.1
2388915,8371,13404,5,1,14.0,4.0,13.0,5.0,11.09,150.4,135.6,100.0,89.7,2.46
2388915,19509,13404,5,1,7.0,2.0,7.0,2.0,5.76,83.1,78.7,100.0,88.9,1.58
2388915,21239,13404,5,1,9.0,3.0,7.0,3.0,1.67,118.2,97.9,100.0,89.8,1.46
2388915,9254,13404,5,1,6.0,2.0,4.0,2.0,3.98,84.0,70.1,100.0,90.2,1.28
2388915,18749,13404,5,1,3.0,4.0,3.0,4.0,-1.14,49.8,45.1,87.5,89.0,0.87
2388915,19509,13404,5,2,9.0,9.0,10.0,8.0,7.69,91.9,102.9,75.0,80.8,1.67
2388915,18749,13404,5,2,8.0,10.0,9.0,9.0,2.65,64.7,70.8,91.7,102.6,1.26
2388915,9254,13404,5,2,9.0,11.0,9.0,10.0,2.39,64.8,68.3,75.0,83.2,1.17
2388915,21239,13404,5,2,8.0,10.0,9.0,10.0,-6.05,65.9,73.0,66.7,79.4,0.96
2388915,8371,13404,5,2,5.0,10.0,5.0,9.0,-4.79,66.2,69.5,66.7,62.6,0.68
2388915,22481,11609,5,0,21.0,15.0,20.0,15.0,2.5,103.2,105.6,70.0,73.5,1.44
2388915,14176,11609,5,0,15.0,15.0,15.0,16.0,-0.5,77.9,79.4,75.0,67.2,1.0
2388915,19738,11609,5,0,11.0,17.0,11.0,17.0,-2.12,63.9,65.8,55.0,57.4,0.76
2388915,7168,11609,5,0,11.0,17.0,9.0,18.0,-4.79,83.7,77.9,60.0,56.3,0.75
2388915,21971,11609,5,0,7.0,15.0,7.0,14.0,-4.77,45.0,47.3,65.0,66.6,0.64
2388915,22481,11609,5,1,16.0,7.0,15.0,8.0,3.32,117.8,116.5,91.7,95.1,1.73
2388915,14176,11609,5,1,12.0,7.0,11.0,9.0,3.21,89.0,85.0,91.7,75.1,1.31
2388915,7168,11609,5,1,10.0,9.0,8.0,11.0,-1.52,128.8,118.8,91.7,84.7,1.13
2388915,21971,11609,5,1,5.0,7.0,5.0,8.0,-3.44,52.0,53.4,83.3,83.0,0.82
2388915,19738,11609,5,1,7.0,10.0,7.0,11.0,-3.48,62.0,61.7,66.7,68.1,0.7
2388915,22481,11609,5,2,5.0,8.0,5.0,7.0,1.26,81.2,89.2,37.5,41.1,1.01
2388915,19738,11609,5,2,4.0,7.0,4.0,6.0,-0.08,66.6,71.9,37.5,41.4,0.84
2388915,14176,11609,5,2,3.0,8.0,3.0,7.0,-6.07,61.2,70.9,50.0,55.4,0.53
2388915,21971,11609,5,2,2.0,8.0,2.0,7.0,-6.78,34.5,38.2,37.5,41.9,0.37
2388915,7168,11609,5,2,1.0,8.0,1.0,7.0,-9.7,15.9,16.5,12.5,13.7,0.18
2389436,18894,6033,0,0,30.0,35.0,32.0,35.0,0.0,81.8,83.4,65.1,66.2,1.07
2389436,17585,6033,0,0,24.0,35.0,26.0,34.0,-1.32,66.3,69.1,58.1,58.7,0.92
2389436,22956,6033,0,0,25.0,33.0,25.0,32.0,0.76,65.5,67.3,58.1,59.2,0.91
2389436,16814,6033,0,0,20.0,36.0,20.0,37.0,-6.26,58.9,59.4,53.5,58.5,0.58
2389436,18891,6033,0,0,14.0,36.0,15.0,33.0,-6.22,40.3,43.2,41.9,45.5,0.54
2389436,17585,6033,0,1,15.0,11.0,17.0,12.0,7.35,85.8,88.6,75.0,79.0,1.55
2389436,22956,6033,0,1,12.0,11.0,12.0,11.0,5.09,85.6,89.0,68.8,67.3,1.25
2389436,18894,6033,0,1,10.0,12.0,11.0,12.0,-1.71,82.2,86.8,75.0,73.9,1.03
2389436,18891,6033,0,1,8.0,10.0,9.0,9.0,-2.24,49.3,51.7,56.2,60.7,0.82
2389436,16814,6033,0,1,5.0,12.0,5.0,13.0,-9.37,45.8,47.3,43.8,46.3,0.38
2389436,18894,6033,0,2,20.0,23.0,20.0,23.0,1.02,81.6,81.4,59.3,61.7,1.1
2389436,22956,6033,0,2,13.0,22.0,13.0,21.0,-1.8,53.6,54.5,51.9,54.4,0.71
2389436,16814,6033,0,2,15.0,24.0,15.0,24.0,-4.42,66.7,66.6,59.3,65.7,0.69
2389436,17585,6033,0,2,9.0,24.0,9.0,22.0,-6.45,54.7,57.5,48.1,46.7,0.55
2389436,18891,6033,0,2,6.0,26.0,7.0,24.0,-8.58,35.0,38.2,33.3,36.5,0.37
2389436,14736,9996,0,0,42.0,17.0,41.0,18.0,4.48,94.4,88.5,79.1,78.4,1.57
2389436,14737,9996,0,0,38.0,18.0,33.0,20.0,5.16,76.4,69.1,81.4,76.0,1.37
2389436,22613,9996,0,0,35.0,26.0,35.0,28.0,2.61,92.9,89.3,74.4,81.6,1.35
2389436,20394,9996,0,0,30.0,28.0,31.0,29.0,1.46,82.2,82.3,76.7,79.7,1.2
2389436,12092,9996,0,0,28.0,24.0,28.0,26.0,-0.67,71.8,72.3,79.1,78.9,1.08
2389436,14736,9996,0,1,33.0,8.0,31.0,9.0,10.26,112.4,103.7,85.2,84.1,1.98
2389436,22613,9996,0,1,25.0,14.0,25.0,15.0,4.68,99.6,96.3,85.2,84.0,1.52
2389436,14737,9996,0,1,26.0,10.0,21.0,11.0,6.26,81.9,72.1,85.2,76.4,1.47
2389436,20394,9996,0,1,17.0,16.0,18.0,17.0,0.82,79.3,81.3,81.5,85.6,1.13
2389436,12092,9996,0,1,17.0,15.0,18.0,16.0,-1.77,71.6,74.2,85.2,84.9,1.07
2389436,20394,9996,0,2,13.0,12.0,13.0,12.0,2.55,87.1,84.0,68.8,69.8,1.32
2389436,14737,9996,0,2,12.0,8.0,11.0,9.0,3.31,67.2,64.1,75.0,75.2,1.22
2389436,12092,9996,0,2,11.0,9.0,10.0,10.0,1.17,72.2,68.9,68.8,68.8,1.1
2389436,22613,9996,0,2,10.0,12.0,10.0,12.0,-0.87,81.6,77.6,56.2,77.5,1.06
2389436,14736,9996,0,2,9.0,9.0,9.0,9.0,-5.28,63.9,62.8,68.8,68.8,0.87
2389436,16814,6033,6,0,5.0,12.0,5.0,12.0,-6.02,56.2,57.7,46.2,51.4,0.52
2389436,18894,6033,6,0,5.0,13.0,5.0,12.0,-7.12,50.0,52.6,46.2,52.2,0.51
2389436,18891,6033,6,0,3.0,13.0,3.0,11.0,-11.51,40.5,47.5,23.1,26.6,0.44
2389436,17585,6033,6,0,2.0,13.0,3.0,12.0,-6.75,41.2,46.1,38.5,35.7,0.33
2389436,22956,6033,6,0,3.0,12.0,3.0,11.0,-8.13,35.2,36.8,30.8,24.5,0.3
2389436,18891,6033,6,1,2.0,1.0,2.0,1.0,9.02,243.0,248.8,100.0,108.1,3.7
2389436,18894,6033,6,1,0.0,1.0,0.0,1.0,-17.75,15.0,15.4,100.0,108.1,0.32
